Date,Price,Open,High,Low,Vol.,Change %
19/03/2020,12.30,10.40,12.69,10.25,12.93,18.24%
18/03/2020,10.40,10.29,10.44,9.67,9.72,1.12%
17/03/2020,10.29,9.42,10.49,9.34,10.60,9.15%
16/03/2020,9.42,10.40,10.41,8.47,13.27,-9.41%
15/03/2020,10.40,10.13,11.09,9.98,12.62,2.74%
14/03/2020,10.13,10.96,11.28,9.91,11.21,-7.64%
13/03/2020,10.96,9.25,11.45,6.50,24.31,18.54%
12/03/2020,9.25,16.54,16.66,8.98,18.29,-44.08%
11/03/2020,16.54,16.84,17.14,15.43,6.00,-1.78%
10/03/2020,16.84,16.55,17.49,16.37,7.60,1.74%
09/03/2020,16.55,16.89,17.51,15.61,9.96,-2.21%
08/03/2020,16.93,20.24,20.27,16.74,8.06,-16.38%
07/03/2020,20.24,21.37,21.49,19.73,5.52,-5.27%
06/03/2020,21.37,20.76,21.76,20.67,7.11,2.95%
05/03/2020,20.76,19.96,21.49,19.94,7.03,3.90%
04/03/2020,19.98,19.71,20.25,19.52,5.96,1.78%
03/03/2020,19.63,19.94,20.35,19.27,6.65,-1.53%
02/03/2020,19.93,18.95,20.25,18.63,8.50,5.52%
01/03/2020,18.89,19.28,20.23,18.38,8.67,-2.00%
29/02/2020,19.28,19.00,20.36,18.67,15.68,1.68%
28/02/2020,18.96,19.20,19.73,17.90,11.36,-1.29%
27/02/2020,19.20,18.76,19.65,17.68,7.87,2.39%
26/02/2020,18.76,20.25,20.66,17.94,9.58,-7.32%
25/02/2020,20.24,22.14,22.19,20.10,6.53,-8.61%
24/02/2020,22.14,22.81,23.34,21.46,6.09,-2.91%
23/02/2020,22.81,22.10,23.13,21.90,7.43,3.54%
22/02/2020,22.03,22.18,22.35,21.50,5.69,-0.59%
21/02/2020,22.16,22.11,22.99,21.76,6.55,0.23%
20/02/2020,22.11,22.32,22.79,21.01,6.18,-0.92%
19/02/2020,22.31,24.04,24.36,22.07,5.86,-7.18%
